time,posture,XY,Y,dyno,vm,dyno_vm,ankle
2021-06-07 15:47:12.001427183,5.0,100.11899101353728,98.52998212730641,1.0,0.0,1.0,
2021-06-07 15:47:13.001428573,5.0,95.12573959776226,94.16805088753665,1.0,0.0,1.0,
2021-06-07 15:47:14.001429963,5.0,92.96340517025635,92.0683689057802,1.0,0.0,1.0,
2021-06-07 15:47:15.001431352,5.0,90.79748758616608,90.20146263480405,1.0,0.0,1.0,
2021-06-07 15:47:16.001432742,5.0,87.57847697069543,87.52101874549828,1.0,0.0,1.0,
2021-06-07 15:47:17.001434132,3.0,88.5018421416943,86.11432479592052,0.0,0.0,0.0,
2021-06-07 15:47:18.001435521,3.0,92.46814363155562,87.35392589260238,0.0,0.0,0.0,
2021-06-07 15:47:19.001436911,3.0,96.66548531305959,90.61109613465133,0.0,0.0,0.0,
2021-06-07 15:47:20.001438301,3.0,101.52929190298954,94.03390591040639,0.0,0.0,0.0,
2021-06-07 15:47:21.001439690,3.0,105.11269006571698,94.92847436512008,0.0,0.0,0.0,
2021-06-07 15:47:22.001441080,3.0,105.77099440204692,93.61385115841877,0.0,0.0,0.0,
2021-06-07 15:47:23.001442470,3.0,104.83737568494602,92.50171553395437,0.0,0.0,0.0,
2021-06-07 15:47:24.001443859,3.0,104.3394044707799,92.44511874282144,0.0,0.0,0.0,
2021-06-07 15:47:25.001445249,3.0,104.62375787090716,92.77346351116408,0.0,0.0,0.0,
2021-06-07 15:47:26.001446639,3.0,104.93642487761598,92.68960158761797,0.0,0.0,0.0,
2021-06-07 15:47:27.001448028,3.0,104.58277771368445,91.65778335498418,0.0,0.0,0.0,
2021-06-07 15:47:28.001449418,3.0,103.39496843761655,89.68790195536816,0.0,0.0,0.0,
2021-06-07 15:47:29.001450808,3.0,102.03974474788396,87.81607947212507,0.0,0.0,0.0,
2021-06-07 15:47:30.001452197,3.0,101.4444035885024,87.14415206291136,0.0,0.0,0.0,
2021-06-07 15:47:31.001453587,3.0,101.78216527996898,87.5812085165966,0.0,0.0,0.0,
2021-06-07 15:47:32.001454977,3.0,102.5822748240688,88.4472595431903,0.0,0.0,0.0,
